The checks below preserve attribution, qualifications and rhetorical context. For advocacy and evaluative language, the check concerns whether the draft faithfully expresses Reed’s supplied position. Repeated propositions are recorded once, with their occurrences identified.

| Draft passage | Complete contextual meaning | Precise negation | Supplied words ruling out that negation |
| “or how often they would attend” | The survey omitted attendance-frequency questions. | The survey asked how often groups would attend. | “The survey did not ask…how often they would attend.” |
| “Our survey gives a reason to examine rehearsal use”; “The survey cannot promise that a rehearsal room would pay its way” | Reed treats the survey as grounds for investigation, while denying that it establishes financial viability. She does not claim a rehearsal room cannot be viable. | Reed treats the survey as a promise of financial viability rather than merely grounds for investigation. | “The survey is a reason to investigate a rehearsal room, not a promise that it will pay its way.” |
| “we have not prepared an estimate”, within the paragraph about “conversion costs” | The association has prepared no estimate for converting the wing. This does not concern every possible estimate or assert that conversion costs are unknowable. | The association has prepared a cost estimate for converting the wing. | “the association has not prepared a cost estimate for converting the wing” |
| “Our treasurer’s signed note confirms…” | A signed note from the association’s treasurer explicitly confirms that absence of a conversion estimate. | No signed note from the treasurer explicitly confirms that absence. | “Its treasurer’s signed note explicitly confirms that the association has not prepared a cost estimate for converting the wing.” |
| “We must be equally clear about conversion costs” | Reed acknowledges the estimate gap as something to disclose, alongside the limits of the survey. | Reed does not acknowledge the conversion-estimate gap. | “Reed accepts this gap” |
| “Our submission also makes no claim to have secured the building owner’s consent for rehearsal use” | The submission does not represent that the association has secured consent. It does not assert that consent is absent. | The submission represents that the association has secured the owner’s consent for rehearsal use. | “The association’s submission makes no representation that it has secured the building owner’s consent for rehearsal use.” |
| “it does not establish whether that consent exists” | The submission does not settle the actual consent status either way. | The submission establishes that consent exists or establishes that it does not exist. | “The supplied material does not state the consent’s actual status.” |
| “The wing is empty” | The wing is currently unoccupied. | The wing is not currently empty. | “The wing is currently empty” |
| “while the hall’s main rooms continue their usual activities” | Usual activities continue in the main rooms despite the wing being empty; the draft does not portray the entire hall as unused. | The main rooms are not continuing to host their usual activities. | “the hall’s main rooms continue to host their usual activities” |
| Headline; “they should investigate whether it could accommodate weekday evening rehearsals”; “I want that possibility assessed before they choose” | Reed advocates investigating possible evening rehearsal use before committing to letting. This is a request, not an assertion that the wing is already suitable. | Reed does not advocate investigating evening rehearsal use before the letting commitment. | “She wants the trustees…to investigate evening rehearsal use before committing the former storage wing to long-term commercial letting.” |
| “I want the trustees to commission a feasibility study”; closing repetition | Reed wants the trustees to commission feasibility work before choosing the use. | Reed does not want the trustees to commission that study before choosing. | “wants the trustees to commission the study before choosing between uses” |
| “covering sound insulation” | Reed’s requested study includes sound insulation. | Sound insulation is outside the requested study’s scope. | “a feasibility study covering sound insulation” |
| “access” | Reed’s requested study includes access. | Access is outside the requested study’s scope. | “a feasibility study covering…access” |
| “likely running costs” | Reed’s requested study includes likely running costs. | Likely running costs are outside the requested study’s scope. | “a feasibility study covering…likely running costs” |
| “potential income” | Reed’s requested study includes potential income, without assuming an amount or guaranteed revenue. | Potential income is outside the requested study’s scope. | “a feasibility study covering…potential income” |
| “then publish a comparison with commercial letting”; “publish the comparison before choosing” | Reed requests a published comparison of rehearsal use and commercial letting to inform the decision. | Reed does not request publication of that comparison before the choice. | “obtain the feasibility study and publish a comparison of the two uses”; “before choosing between uses” |
| “I am asking for an eight-week deferral”; “Trustees should defer…for eight weeks” | Eight weeks is Reed’s requested postponement of the three-year letting decision, not an agreed postponement. | Reed is not requesting an eight-week postponement of that decision. | “Her proposal is that the trustees defer the three-year letting decision for eight weeks” |
| “without claiming the study can be completed within that period” | The requested eight-week timetable carries no assurance that the study can be completed within it. The final imperative remains advocacy, not a completion forecast. | Reed’s requested timetable carries an assurance that the study can be completed within eight weeks. | “There is no evidence that a study can be completed within eight weeks; this is her requested timetable.” |

No findings. No source-compatible counterexample defeats these contextual propositions, and no repairs are needed.
